anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
valley,Valley,REFINED,REFINED|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
virgin,Virgin,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
voice,Voice,DISPUTED,REFINED|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DISPUTED
way,Way (the way),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,STRONG|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
wall,Wall,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
week,Week,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
west,West,REFINED,REFINED|REFINED|REFINED|NOVEL,DISPUTED,PARTIAL|STRONG|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
wheat,Wheat,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
widow,Widow,REFINED,REFINED|REFINED|REFINED|DIVERGENT,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
wind,Wind,MATCH,REFINED|MATCH|MATCH|MATCH,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
winepress,Winepress,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
wings,Wings (kanaph),REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
wisdom,Wisdom,REFINED,REFINED|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
wise,Wise,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
works,"Works (good works, evil works)",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,STRONG|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
works-of-law,Works of the law,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
worship,Worship,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
year,Year,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
