words,file,approx_line,sentence
89,books/symbolic-language/08-the-name.adoc,103,"In stone: Solomon raises the temple __“for my name.”__ And in covenant: the Son of David builds the house the first two only sketched — __“Destroy this temple, and in three days I will raise it up… he spake of the *temple of his body*”__ (John 2:19-21); __“ye also, as lively sym:sym-stone[stones], are *built up a spiritual house*”__ (1 Peter 2:5); __“Christ as a son over his own house; *whose house are we*”__ (Hebrews 3:6)."
88,books/symbolic-language/17-justice-and-judgment.adoc,146,"And judgment is a thing _given to_ the saints as an inheritance: __“*judgment was given* to the saints of the most High; and the time came that the saints *possessed the kingdom*”__ (Daniel 7:22) — thrones, in Revelation’s replay of that scene: __“I saw thrones, and they sat upon them, and *judgment was given* unto them… and they lived and *reigned* with Christ”__ (Revelation 20:4); __“ye also shall sit upon twelve thrones, *judging* the twelve tribes of Israel”__ (Matthew 19:28)."
88,books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,97,"The life _was_ the light — and light is a defined symbol with link:/books/symbolic-language/light-and-darkness/[its own chapter ahead]: not truth in the abstract, but the law lived where men can see it (Matthew 5:16).footnote:fn07light516[Derived in the link:/books/symbolic-language/light-and-darkness/[Light and Darkness] chapter.] So John’s equation compounds the symbols: the covenant-existence, held perfectly in Him, was itself the lived example — obedience demonstrated in the open, where men could watch it and walk by it."
88,books/symbolic-language/03-signs-and-similitudes.adoc,125,"The manna was a similitude of __“the true sym:sym-bread[bread] from heaven”__ (John 6:32) — and the feeding of the five thousand that opens that discourse is itself a lived sign: John calls it one (the __“miracle”__ of John 6:14 is the Greek _sēmeion_), the sign the last chapter read in full — the Law carried by witnesses, feeding the famished — and the sym:sym-sea[Sea & Waters] chapter ahead will deepen the sym:sym-fish[fish]’s half of its key."
88,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,234,"sym:sym-leaven[Leaven] is purged from every house before the feast (Exodus 12:15); it is banned from the altar absolutely — __“ye shall burn *no leaven*… in any offering of the LORD made by fire”__ (Leviticus 2:11); Amos names a leavened offering in sarcasm to a rebellious people — __“offer a sacrifice of thanksgiving *with leaven*… for this *liketh you*”__ (Amos 4:5); and Hosea watches adulterous Ephraim rise like dough, the baker idle __“until it be leavened”__ (Hosea 7:4)."
87,books/symbolic-language/30-the-pearl.adoc,141,"__“She is a tree of life to them that lay hold upon her: and blessed is every one that holdeth her fast”__ (3:18) — the holding-verb is _tamak_, the verb of the palms holding the circuit, and the verb of Moses’ hands on the mountain, held up *steady* — _emunah_, the faithful-witness word — __“until the going down of the sun,”__ while Joshua *weakened* Amalek — _chalash_, the rare verb of Isaiah 14:12, three occurrences in all of Scripture (Exodus 17:12-13)."
86,books/symbolic-language/39-sea-and-waters.adoc,337,"Micah has just invoked the Exodus — __“according to the days of thy coming out of the land of Egypt”__ (Micah 7:15) — so the picture is exact: our sins go down like Pharaoh’s army, cast into the sea, link:/books/symbolic-language/the-fall-of-babylon/[never to rise].footnote:fn34neverrise[Why the verdict is the not-rising — Babylon sinks and shall not rise; the righteous come up — is proved in the link:/books/symbolic-language/the-fall-of-babylon/[Fall of Babylon] chapter.]"
86,books/symbolic-language/30-the-pearl.adoc,86,"The link:/books/symbolic-language/sun-moon-and-stars/[Sun, Moon, and Stars] chapter read the lights: the sym:sym-sun[sun] the Father and the husband; the sym:sym-moon[moon] the sym:sym-faithful-witness[faithful witness] — the Son toward His Father, the sym:sym-marriage[bride] toward her Bridegroom; the sym:sym-stars[stars] the righteous, gathered into the twelve; the sym:sym-elders[elders] seated among the host; and the gates of the sky's tabernacle, through which the lights come and go."
86,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,264,"The field is the world by the Teacher's own key, and the buyer purchases *all of it* to possess the treasure — a price One alone paid: __“though he was sym:sym-rich[rich]… he became sym:sym-poor[poor]”__ (2 Corinthians 8:9), __“the propitiation… for the sym:sym-sin[sins] of the whole world”__ (1 John 2:2) — and the treasure was defined at Sinai before the parable ever borrowed it: the *people* are the treasure, and the seeker is God."
85,books/symbolic-language/41-grass.adoc,58,"When the threshed wheat is thrown up into the wind, the light, empty *chaff* is carried off while the heavy grain falls back to the floor — and this is what the wicked are likened to, weightless and rootless: the chaff which the sym:sym-wind[wind] drives away (Psalm 1:4), __“chased as the chaff of the sym:sym-mountain[mountains] before the wind”__ (Isaiah 17:13) — the very kingdoms of the link:/books/symbolic-language/mountain/[Mountain] chapter, blown off like husks."
85,books/symbolic-language/35-daniel-unsealed.adoc,78,"The word under Daniel's __“weeks”__ is the name of a feast — _Shavuot_, the Feast of sym:sym-week[Weeks], the Feast of Sevens — and that feast is counted exactly the way the jubilee is counted: __“seven sabbaths shall be complete: even unto the morrow after the seventh sabbath shall ye number *fifty days*”__ (Leviticus 23:15-16), as the jubilee numbers __“seven sabbaths of sym:sym-year[years]”__ and hallows __“the *fiftieth year*”__ (Leviticus 25:8, 10)."
84,books/symbolic-language/36-clouds.adoc,79,"link:/books/symbolic-language/the-parables-of-the-kingdom/[The rain is doctrine] — Moses’ teaching dropping as the rain, Isaiah's word coming down from heaven to give sym:sym-seed[seed] to the sower and sym:sym-bread[bread] to the eater (Deuteronomy 32:2; Isaiah 55:10-11).footnote:fn30rain[Derived in the chapter link:/books/symbolic-language/the-parables-of-the-kingdom/[The Parables of the Kingdom].] The cloud is the vehicle; the rain is the word it was sent to pour."
84,books/symbolic-language/03-signs-and-similitudes.adoc,121,"Jesus reads history the same way, time after time: __“as the days of Noe were, so shall also the coming of the Son of man be”__ (Matthew 24:37); __“as it was in the days of Lot… even thus shall it be in the day when the Son of man is revealed”__ (Luke 17:28, 30); __“as Moses lifted up the serpent in the wilderness, even so must the Son of man be lifted up”__ (John 3:14)."
83,books/symbolic-language/44-jacob-israel-and-ephraim.adoc,117,"The Jew is __“one inwardly”__ (Romans 2:28-29) — and Paul's definition carries Judah's name inside it: Judah means *praise* — __“Now will I *praise* the LORD: therefore she called his name Judah”__ (Genesis 29:35) — and the verse lands exactly there: the Jew inwardly is he __“whose *praise* is not of men, but of God.”__ The word wears three coats — ethnic, religious, covenant — and as with every symbol, the context tells you which one it is wearing."
83,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,217,"Ezekiel's __“dwell”__ is _shakan_, the tabernacle word, and Matthew's Greek keeps it — _kataskēnoō_, to pitch one's tent — and the prophets had promised the nations exactly that tent-rest in a Person: __“a *Branch* shall grow out of his roots… and in that day there shall be a root of Jesse… to it shall the *Gentiles* seek: and his *rest* shall be glorious”__ (Isaiah 11:1, 10); __“Behold the man whose name is The *BRANCH*”__ (Zechariah 6:12)."
82,books/symbolic-language/17-justice-and-judgment.adoc,72,"Job wore it: __“I put on sym:sym-righteousness[righteousness], and it clothed me: my *judgment* was as a robe and a diadem”__ — and then the inventory of what the sym:sym-garment[garment] was made of: __“I delivered the poor that cried, and the fatherless… I was eyes to the blind, and feet was I to the lame… a father to the poor: and the cause which I knew not I *searched out*”__ (Job 29:12-16)."
82,books/symbolic-language/14-the-remnant.adoc,142,"The law forbids wholly reaping the sym:sym-wings[corners] of the sym:sym-field[field]; they are left for the sym:sym-poor[poor] and the sym:sym-stranger[stranger] (Leviticus 19:9-10) — and __“corners”__ is _pe'ah_, link:/books/symbolic-language/wings/[the reserved edge].footnote:fn12peahweb[The reserved edge — _kanaph_ on the garment, _pe'ah_ in the field — is derived in the link:/books/symbolic-language/wings/[Wings] chapter.] The edge of a field is fixed by mathematics."
81,books/symbolic-language/39-sea-and-waters.adoc,501,"The waters below are the peoples; the vapour God draws up out of the sea is people drawn up out of the mass; and the multitude gathered in the heavens is exactly what John sees before the throne — __“a sym:sym-sea[sea of glass] like unto crystal”__ (Revelation 4:6), with __“them that had gotten the victory over the sym:sym-beast[beast]”__ standing on it, __“having the harps of God”__ (Revelation 15:2)."
81,books/symbolic-language/23-path-to-salvation.adoc,48,"The truth link:/books/symbolic-language/the-way-the-truth-and-the-life/[is God’s law itself] — __“thy law is the sym:sym-truth[truth]”__ (Psalm 119:142).footnote:fn32truthlaw[Derived in the chapter link:/books/symbolic-language/the-way-the-truth-and-the-life/[The Way, The Truth, and The Life].] With this definition, Hebrews 10:26 can be understood to say __“if we sin willfully after we have received knowledge of the law (of Moses)”__."
81,books/symbolic-language/15-heaven-and-hell.adoc,173,"The text supplies its own label for the fate of the lost, and the label is not __“the second torment.”__ It is __“the second *death*”__ — and the Hebrew Revelation of the Cochin manuscripts sharpens the word: in three of its four occurrences the phrase is _acher maveth_, *another* death, a death of a *different kind* — the word used for taking __“another”__ wife (Exodus 21:10) and for Caleb's __“another spirit”__ (Numbers 14:24)."
81,books/symbolic-language/14-the-remnant.adoc,343,"Ruth arrives in Bethlehem carrying every name of the gleaning household at once: poor — __“I went out full, and the LORD hath brought me home again empty”__ (Ruth 1:21); a sym:sym-stranger[stranger] — __“seeing I am a stranger”__ (Ruth 2:10); a sym:sym-widow[widow], her husband dead (Ruth 1:5); fatherless in every practical sense, having __“left thy father and thy mother, and the land of thy nativity”__ (Ruth 2:11)."
81,books/symbolic-language/01-introduction.adoc,123,"Some forty writers, across some fifteen centuries, in multiple languages, hold one symbol grammar without a collision — as the chapters ahead will prove: the sym:sym-mountain[mountain] is a kingdom from Moses to Daniel's Babylon to John's Patmos; the sym:sym-seed[seed] is the word in Isaiah's field and in the boat on Galilee; the sym:sym-harlot[harlot], the sym:sym-olive[vine], the shepherds, the sym:sym-wings[wings] keep their meanings across authors who never met."
80,books/symbolic-language/42-garments.adoc,186,"The high priest's mitre carried a graven plate __“upon Aaron's *forehead*,”__ reading HOLINESS TO THE LORD, __“that they may be *accepted*”__ (Exodus 28:36-38); the word is bound __“as frontlets *between thine eyes*”__ (Deuteronomy 6:8); and the redeemed wear __“his sym:sym-name[name]… in their foreheads”__ (Revelation 22:4) — while the counterfeit is issued for the same head: the beast's mark __“in their foreheads”__ (Revelation 13:16)."
80,books/symbolic-language/37-the-moment.adoc,112,"The world's kingdoms are not transferred; they fall — Daniel's sym:sym-stone[stone] grinds them to sym:sym-chaff[chaff] and the sym:sym-wind[wind] carries them off, no place found for them (Daniel 2:35) — and what is given to the Son is another kingdom entirely, the kingdom the God of heaven sets up to break and consume all these (Daniel 2:44): __“there was *given him* dominion, and glory, and a kingdom”__ (Daniel 7:14)."
80,books/symbolic-language/30-the-pearl.adoc,311,"- __taketh it__ (31:16) — the written verb is _laqach_, to *take*; the King James prints __“buyeth it.”__ - __the covenant's meat / the appointed portion__ (31:15) — _teref_ is the noun of Psalm 111:5, “he hath given *meat* unto them that fear him: he will ever be mindful of his *covenant*”; _choq_ is “an enactment; an appointment (of time)” — the King James’ own “set time” (Job 14:13), and the word of Jeremiah 31:35's moon-and-stars ordinances."
79,books/symbolic-language/39-sea-and-waters.adoc,208,"The destroying verb of the verse is singular, and link:/books/symbolic-language/daniel-unsealed/[its subject is the Messiah]: he will destroy the people of the coming ruler, __“and the end thereof shall be with a sym:sym-flood[flood]”__ (Daniel 9:26).footnote:fn34dan926[The word-by-word case for this reading — the singular verb, its subject, and the seventy sevens entire — is made in the link:/books/symbolic-language/daniel-unsealed/[Daniel Unsealed] chapter.]"
