LXX-GK
Septuagint, Greek text (Swete 1887-1930, public domain; digitized word-database by Eliran Wong, github.com/eliranwong/LXX-Swete-1930, GPL-3.0 compilation). Versification follows the LXX (Psalms run one behind the Hebrew), matching bibles/lxx.txt (Brenton).
Genesis 1:1	ΕΝ ΑΡΧΗ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν.
2 Samuel 15:1	Καὶ ἐγένετο μετὰ ταῦτα καὶ ἐποίησεν ἑαυτῷ Ἀβεσσαλὼμ ἅρματα καὶ ἵππους καὶ πεντήκοντα ἄνδρας παρατρέχειν ἔμπροσθεν αὐτοῦ.
2 Samuel 15:2	καὶ ὤρθρισεν Ἀβεσσαλὼμ καὶ ἔστη ἀνὰ χεῖρα τῆς ὁδοῦ τῆς πύλης· καὶ ἐγένετο πᾶς ἀνὴρ ᾧ ἐγένετο κρίσις ἦλθεν πρὸς τὸν βασιλέα εἰς κρίσιν, καὶ ἐβόησεν πρὸς αὐτὸν Ἀβεσσαλὼμ καὶ ἔλεγεν αὐτῷ Ἐκ ποίας πόλεως σὺ εἶ; καὶ εἶπεν Ἐκ μιᾶς φυλῶν Ἰσραὴλ ὁ δοῦλός σου.
2 Samuel 15:3	καὶ εἶπεν πρὸς αὐτὸν ὁ Ἀβεσσαλώμ Ἰδοὺ οἱ λόγοι σου ἀγαθοὶ καὶ εὔκολοι, καὶ ἀκούων οὐκ ἔστιν σου παρὰ τοῦ βασιλέως.
2 Samuel 15:4	καὶ εἶπεν Ἀβεσσαλώμ Τίς με καταστήσει κριτὴν ἐν τῇ γῇ, καὶ ἐπ᾽ ἐμὲ ἐλεύσεται πᾶς ἀνὴρ ᾧ ἐὰν ᾖ ἀντιλογία καὶ κρίσις καὶ δικαιώσω αὐτόν;
2 Samuel 15:5	καὶ ἐγένετο ἐν τῷ ἐγγίζειν ἄνδρα τοῦ προσκυνῆσαι αὐτῷ, καὶ ἐξέτεινε τὴν χεῖρα αὐτοῦ καὶ ἐπελαμβάνετο αὐτοῦ καὶ κατεφίλησεν αὐτὸν.
2 Samuel 15:6	καὶ ἐποίησεν Ἀβεσσαλὼμ κατὰ τὸ ῥῆμα τοῦτο παντὶ Ἰσραὴλ τοῖς παραγινομένοις εἰς κρίσιν πρὸς τὸν βασιλέα, καὶ ἰδιοποιεῖτο Ἀβεσσαλὼμ τὴν καρδίαν ἀνδρῶν Ἰσραήλ.
2 Samuel 15:7	Καὶ ἐγένετο ἀπὸ τέλους τεσσεράκοντα ἐτῶν καὶ εἶπεν Ἀβεσσαλὼμ πρὸς τὸν πατέρα αὐτοῦ Πορεύσομαι δὴ καὶ ἀποτίσω τὰς εὐχάς μου ἃς ηὐξάμην τῷ κυρίῳ ἐν Χεβρών·
2 Samuel 15:8	ὅτι εὐχὴν ηὔξατο ὁ δοῦλός σου ἐν τῷ οἰκεῖν με ἐν Γεδσοὺρ ἐν Συρίᾳ λέγων Ἐὰν ἐπιστρέφων ἐπιστρέψῃ με Κύριος εἰς Ἰερουσαλήμ, καὶ λατρεύσω τῷ κυρίῳ.
2 Samuel 15:9	καὶ εἶπεν αὐτῷ ὁ βασιλεύς Βάδιζε εἰς εἰρήνην· καὶ ἀναστὰς ἐπορεύθη εἰς Χεβρών.
2 Samuel 15:10	καὶ ἀπέστειλεν Ἀβεσσαλὼμ κατασκόπους ἐν πάσαις φυλαῖς Ἰσραὴλ λέγων Ἐν τῷ ἀκοῦσαι ὑμᾶς τὴν φωνὴν τῆς κερατίνης καὶ ἐρεῖτε Βεβασίλευκεν βασιλεὺς Ἀβεσσαλὼμ ἐν Χεβρών.
2 Samuel 15:11	καὶ μετὰ Ἀβεσσαλὼμ ἐπορεύθησαν διακόσιοι ἄνδρες ἐξ Ἰερουσαλὴμ κλητοί· καὶ πορευόμενοι τῇ ἁπλότητι αὐτῶν καὶ οὐκ ἔγνωσαν πᾶν ῥῆμα.
2 Samuel 15:12	καὶ ἀπέστειλεν Ἀβεσσαλὼμ τῷ Ἀχειτόφελ τῷ Θεκωνεὶ σύμβουλον Δαυεὶδ ἐν πόλει αὐτοῦ εἰς Γωλὰ ἐν τῷ θυσιάζειν αὐτόν· καὶ ἐγένετο σύντριμμα ἰσχυρόν, καὶ ὁ λαὸς ὁ πορευόμενος καὶ πολὺς μετὰ Ἀβεσσαλώμ.
2 Samuel 15:13	Καὶ παρεγένετο ὁ ἀπαγγέλλων πρὸς Δαυεὶδ λέγων Ἐγενήθη ἡ καρδία ἀνδρῶν Ἰσραὴλ ὀπίσω Ἀβεσσαλώμ.
2 Samuel 15:14	καὶ εἶπεν Δαυεὶδ πᾶσιν τοῖς παισὶν αὐτοῦ τοῖς μετ᾽ αὐτοῦ τοῖς ἐν Ἰερουσαλήμ Ἀνάστητε καὶ φύγωμεν, ὅτι οὐκ ἔστιν ἡμῖν σωτηρία ἀπὸ προσώπου Ἀβεσσαλώμ· ταχύνατε τοῦ πορευθῆναι, ἵνα μὴ ταχύνῃ καὶ καταλάβῃ ἡμᾶς, καὶ ἐξώσῃ ἐφ᾽ ἡμᾶς τὴν κακίαν καὶ πατάξῃ τὴν πόλιν στόματι μαχαίρης.
2 Samuel 15:15	καὶ εἶπον οἱ παῖδες τοῦ βασιλέως πρὸς τὸν βασιλέα Κατὰ πάντα ὅσα αἱρεῖται ὁ κύριος ἡμῶν ὁ βασιλεύς, ἰδοὺ οἱ παῖδές σου.
2 Samuel 15:16	καὶ ἐξῆλθεν ὁ βασιλεὺς καὶ πᾶς ὁ οἶκος αὐτοῦ τοῖς ποσὶν αὐτῶν· καὶ ἀφῆκεν ὁ βασιλεὺς δέκα γυναῖκας τῶν παλλακῶν αὐτοῦ φυλάσσειν τὸν οἶκον.
2 Samuel 15:17	καὶ ἐξῆλθεν ὁ βασιλεὺς καὶ πάντες οἱ παῖδες αὐτοῦ πεζῇ, καὶ ἔστησαν ἐν οἴκῳ τῷ Μακράν.
2 Samuel 15:18	καὶ πάντες οἱ παῖδες αὐτοῦ ἀνὰ χεῖρα αὐτοῦ παρῆγον καὶ πᾶς ὁ Χεττεὶ καὶ πᾶς ὁ Φελετθεί, καὶ ἔστησαν ἐπὶ τῆς ἐλαίας ἐν τῇ ἐρήμῳ· καὶ πᾶς ὁ λαὸς παρεπορεύετο ἐχόμενος αὐτοῦ, καὶ πάντες οἱ περὶ αὐτὸν καὶ πάντες οἱ ἁδροὶ καὶ πάντες οἱ μαχηταί, ἑξακόσιοι ἄνδρες, καὶ παρῆσαν ἐπὶ χεῖρα αὐτοῦ· καὶ πᾶς ὁ Χερεθθεὶ καὶ πᾶς ὁ Φελεθθεὶ καὶ πάντες οἱ Γεθθαῖοι, οἱ ἑξακόσιοι ἄνδρες οἱ ἐλθόντες τοῖς ποσὶν αὐτῶν εἰς Γὲθ καὶ πορευόμενοι ἐπὶ πρόσωπον τοῦ βασιλέως.
2 Samuel 15:19	καὶ εἶπεν ὁ βασιλεὺς πρὸς Σεθθεὶ τὸν Γεθθαῖον Ἵνα τί πορεύῃ καὶ σὺ μεθ᾽ ἡμῶν; ἐπίστρεφε καὶ οἴκει μετὰ τοῦ βασιλέως, ὅτι ξένος εἶ σὺ καὶ ὅτι μετῴκηκας σὺ ἐκ τοῦ τόπου σου.
2 Samuel 15:20	εἰ ἐχθὲς παραγέγονας, καὶ σήμερον κινήσω σε μεθ᾽ ἡμῶν; καί γε μεταναστήσεις τὸν τόπον σου· ἐχθὲς ἡ ἐξέλευσίς σου, καὶ σήμερον μετακινήσω σε μεθ᾽ ἡμῶν τοῦ πορευθῆναι; καὶ ἐγὼ πορεύσομαι ἐφ᾽ οὗ ἂν ἐγὼ πορευθῶ· ἐπιστρέφου καὶ ἐπίστρεψον τοὺς ἀδελφούς σου μετὰ σοῦ, καὶ Κύριος ποιήσει μετὰ σοῦ ἔλεος καὶ ἀλήθειαν.
2 Samuel 15:21	καὶ ἀπεκρίθη Ἐθθεὶ τῷ βασιλεῖ καὶ εἶπεν Ζῇ Κύριος καὶ ζῇ ὁ κύριός μου ὁ βασιλεύς, ὅτι εἰς τὸν τόπον οὗ ἐὰν ᾖ ὁ κύριός μου, καὶ ἐὰν εἰς θάνατον καὶ ἐὰν εἰς ζωήν, ὅτι ἐκεῖ ἔσται ὁ δοῦλός σου.
2 Samuel 15:22	καὶ εἶπεν ὁ βασιλεὺς πρὸς Σεθθεί Δεῦρο καὶ διάβαινε μετ᾽ ἐμοῦ· καὶ παρῆλθεν Σεθθεὶ ὁ Γεθθαῖος καὶ πάντες οἱ παῖδες αὐτοῦ καὶ πᾶς ὁ ὄχλος ὁ μετ᾽ αὐτοῦ.
2 Samuel 15:23	καὶ πᾶσα ἡ γῆ ἔκλαιεν φωνῇ μεγάλῃ· καὶ πᾶς ὁ λαὸς παρεπορεύοντο ἐν τῷ χειμάρρῳ τῶν κέδρων, καὶ ὁ βασιλεὺς διέβη τὸν χειμάρρουν Κεδρών· καὶ πᾶς ὁ λαὸς καὶ ὁ βασιλεὺς παρεπορεύοντο ἐπὶ πρόσωπον ὁδοῦ τὴν ἔρημον.
2 Samuel 15:24	καὶ ἰδοὺ καὶ γε Σαδδὼκ καὶ πάντες οἱ Λευεῖται μετ᾽ αὐτοῦ αἴροντες τὴν κιβωτὸν διαθήκης Κυρίου ἀπὸ Βαιθάρ· καὶ ἔστησαν τὴν κιβωτὸν τοῦ θεοῦ, καὶ ἀνέβη Ἀβιαθάρ, ὡς ἐπαύσατο πᾶς ὁ λαὸς παρελθεῖν ἐκ τῆς πόλεως.
2 Samuel 15:25	καὶ εἶπεν ὁ βασιλεὺς τῷ Σαδδώκ Ἀπόστρεψον τὴν κιβωτὸν τοῦ θεοῦ εἰς τὴν πόλιν· ἐὰν εὕρω χάριν ἐν ὀφθαλμοῖς Κυρίου, καὶ ἐπιστρέψει με καὶ δείξει μοι αὐτὴν καὶ τὴν εὐπρέπειαν αὐτῆς·
2 Samuel 15:26	καὶ ἐὰν εἴπῃ οὕτως Οὐκ ἠθέληκα ἐν σοί, ἰδοὺ ἐγώ εἰμι, ποιείτω μοι κατὰ τὸ ἀγαθὸν ἐν ὀφθαλμοῖς αὐτοῦ.
2 Samuel 15:27	καὶ εἶπεν ὁ βασιλεὺς τῷ Σαδὼκ τῷ ἱερεῖ Ἴδετε, σὺ ἐπιστρέφεις εἰς τὴν πόλιν ἐν εἰρήνῃ, καὶ Ἀχειμαίας ὁ υἱός σου καὶ Ἰωναθὰν ὁ υἱὸς Ἀβιαθὰρ οἱ δύο υἱοὶ ὑμῶν μεθ᾽ ὑμῶν·
2 Samuel 15:28	ἴδετε, ἐγώ εἰμι στρατεύομαι ἐν ἀραβὼθ τῆς ἐρήμου ἕως τοῦ ἐλθεῖν ῥῆμα παρ᾽ ὑμῶν τοῦ ἀπαγγεῖλαί μοι.
2 Samuel 15:29	καὶ ἀπέστρεψεν Σαδὼκ καὶ Ἀβιαθὰρ τὴν κιβωτὸν εἰς Ἰερουσαλήμ, καὶ ἐκάθισεν ἐκεῖ.
2 Samuel 15:30	καὶ Δαυεὶδ ἀνέβαινεν ἐν τῇ ἀναβάσει τῶν ἐλαιῶν καὶ τὴν κεφαλὴν ἐπικεκαλυμμένος, καὶ αὐτὸς ἐπορεύετο ἀνυπόδετος· καὶ πᾶς ὁ λαὸς ὁ μετ᾽ αὐτοῦ ἐπεκάλυψεν ἀνὴρ τὴν κεφαλὴν αὐτοῦ, καὶ ἀνέβαινον ἀναβαίνοντες καὶ κλαίοντες.
2 Samuel 15:31	καὶ ἀνηγγέλη Δαυεὶδ λέγοντες Καὶ Ἀχειτόφελ ἐν τοῖς συστρεφομένοις μετὰ Ἀβεσσαλώμ· καὶ εἶπεν Δαυείδ Διασκέδασον δὴ τὴν βουλὴν Ἀχειτόφελ, Κύριε ὁ θεός μου.
2 Samuel 15:32	καὶ ἦν Δαυεὶδ ἐρχόμενος ἕως τοῦ Ῥοώς, οὗ προσεκύνησεν ἐκεῖ τῷ θεῷ· καὶ ἰδοὺ εἰς ἀπαντὴν αὐτῷ Χουσεὶ ὁ Ἀρχί, ἑταῖρος Δαυείδ, διερρηχὼς τὸν χιτῶνα αὐτοῦ καὶ γῆ ἐπὶ τῆς κεφαλῆς αὐτοῦ.
2 Samuel 15:33	καὶ εἶπεν αὐτῷ Δαυείδ Ἐὰν μὲν διαβῇς μετ᾽ ἐμοῦ, καὶ ἔσῃ ἐπ᾽ ἐμὲ εἰς βάσταγμα.
2 Samuel 15:34	καὶ ἂν εἰς τὴν πόλιν ἐπιστρέψῃς, καὶ ἐρεῖς τῷ Ἀβεσσαλώμ Διεληλύθασιν οἱ ἀδελφοί σου, καὶ ὁ βασιλεὺς κατόπισθέν μου διελήλυθεν ὁ πατήρ σου· καὶ νῦν παῖς σού εἰμι, βασιλεῦ, ἔασόν με ζῆσαι· παῖς τοῦ πατρός σου ἤμην τότε καὶ ἀρτίως, καὶ νῦν ἐγὼ δοῦλος σός· καὶ διασκεδάσεις μοι τὴν βουλὴν Ἀχειτόφελ.
2 Samuel 15:35	καὶ ἰδοὺ μετὰ σοῦ ἐκεῖ Σαδὼκ καὶ Ἀβιαθὰρ οἱ ἱερεῖς· καὶ ἔσται πᾶν ῥῆμα ὃ ἐὰν ἀκούσῃς ἐξ οἴκου τοῦ βασιλέως, καὶ ἀναγγελεῖς τῷ Σαδὼκ καὶ τῷ Ἀβιαθὰρ τοῖς ἱερεῦσιν.
2 Samuel 15:36	ἰδοὺ ἐκεῖ μετ᾽ αὐτῶν δύο υἱοὶ αὐτῶν, Ἀχειμάας υἱὸς τῷ Σαδὼκ καὶ Ἰωναθὰν υἱὸς τῷ Ἀβιαθάρ· καὶ ἀποστελεῖτε ἐν χειρὶ αὐτῶν πρὸς μὲ πᾶν ῥῆμα ὃ ἐὰν ἀκούσητε.
2 Samuel 15:37	καὶ εἰσῆλθεν Χουσεὶ ὁ ἑταῖρος Δαυεὶδ εἰς τὴν πόλιν, καὶ Ἀβεσσαλὼμ εἰσεπορεύετο εἰς Ἰερουσαλήμ.
2 Samuel 16:1	Καὶ Δαυεὶδ παρῆλθεν βραχύ τι ἀπὸ τῆς Ῥοώς, καὶ ἰδοὺ Σειβὰ τὸ παιδάριον Μεμφιβόσθε εἰς ἀπαντὴν αὐτοῦ, καὶ ζεῦγος ὄνων ἐπισεσαγμένων, καὶ ἐπ᾽ αὐτοῖς διακόσιοι ἄρτοι καὶ ἑκατὸν σταφίδες καὶ ἑκατὸν φοίνικες καὶ νέβελ οἴνου.
2 Samuel 16:2	καὶ εἶπεν ὁ βασιλεὺς πρὸς Σειβά Τί ταῦτά σοι; καὶ εἶπεν Σειβά Τὰ ὑποζύγια τῇ οἰκίᾳ τοῦ βασιλέως τοῦ ἐπικαθῆσθαι, καὶ οἱ ἄρτοι καὶ οἱ φοίνικες εἰς βρῶσιν τοῖς παιδαρίοις, καὶ ὁ οἶνος πιεῖν τοῖς ἐκλελυμένοις ἐν τῇ ἐρήμῳ.
2 Samuel 16:3	καὶ εἶπεν ὁ βασιλεύς Καὶ ποῦ ὁ υἱὸς τοῦ κυρίου σου; καὶ εἶπεν Σειβὰ πρὸς τὸν βασιλέα Ἰδοὺ κάθηται ἐν Ἰερουσαλήμ, ὅτι εἶπεν Σήμερον ἐπιστρέψουσίν μοι οἶκος Ἰσραὴλ τὴν βασιλείαν τοῦ πατρός μου.
2 Samuel 16:4	καὶ εἶπεν ὁ βασιλεὺς τῷ Σειβά Ἰδοὺ σοὶ πάντα ὅσα ἐστὶν Μεμφιβόσθε. καὶ εἶπεν Σειβά Προσκυνήσας εὕροιμι χάριν ἐν ὀφθαλμοῖς σου, κύριέ μου βασιλεῦ.
2 Samuel 16:5	Καὶ ἦλθεν ὁ βασιλεὺς Δαυεὶδ ἕως Βουρείμ· καὶ ἰδοὺ ἐκεῖθεν ἀνὴρ ἐξεπορεύετο ἐκ συγγενείας οἴκου Σαούλ, καὶ ὄνομα αὐτῷ Σεμεεὶ υἱὸς Γηρά· ἐξῆλθεν ἐκπορευόμενος καὶ καταρώμενος
2 Samuel 16:6	καὶ λιθάζων ἐν λίθοις τὸν Δαυεὶδ καὶ πάντας τοὺς παῖδας τοῦ βασιλέως Δαυείδ· καὶ πᾶς ὁ λαὸς ἦν καὶ πάντες οἱ δυνατοὶ ἐκ δεξιῶν αὐτοῦ καὶ ἐξ εὐωνύμων τοῦ βασιλέως.
2 Samuel 16:7	καὶ οὕτως ἔλεγεν Σεμεεὶ ἐν τῷ καταρᾶσθαι αὐτόν Ἔξελθε ἔξελθε, ἀνὴρ αἱμάτων καὶ ἀνὴρ ὁ παράνομος.
2 Samuel 16:8	ἐπέστρεψεν ἐπὶ σὲ Κύριος πάντα τὰ αἵματα τοῦ οἴκου Σαούλ, ὅτι ἐβασίλευσας ἀντ᾽ αὐτοῦ, καὶ ἔδωκεν Κύριος τὴν βασιλείαν ἐν χειρὶ Ἀβεσσαλὼμ τοῦ υἱοῦ σου· καὶ ἰδοὺ σὺ ἐν τῇ κακίᾳ σου, ὅτι ἀνὴρ αἱμάτων σύ.
2 Samuel 16:9	καὶ εἶπεν Ἀβεισὰ υἱὸς Σαρουίας πρὸς τὸν βασιλέα Ἵνα τί καταρᾶται ὁ κύων ὁ τεθνηκὼς οὗτος τὸν κύριόν μου τὸν βασιλέα; διαβήσομαι δὴ καὶ ἀφελῶ τὴν κεφαλὴν αὐτοῦ.
2 Samuel 16:10	καὶ εἶπεν ὁ βασιλεύς Τί ἐμοὶ καὶ ὑμῖν, υἱοὶ Σαρουίας; καὶ ἄφετε αὐτὸν καὶ οὕτως καταράσθω, ὅτι Κύριος εἶπεν αὐτῷ καταρᾶσθαι τὸν Δαυείδ· καὶ τίς ἐρεῖ Ὡς τί ἐποίησας οὕτως;
2 Samuel 16:11	καὶ εἶπεν Δαυεὶδ πρὸς Ἀβεισὰ καὶ πρὸς πάντας τοὺς παῖδας αὐτοῦ Ἰδοὺ ὁ υἱός μου ὁ ἐξελθὼν ἐκ τῆς κοιλίας μου ζητεῖ τὴν ψυχήν μου, καὶ προσέτι νῦν ὁ υἱὸς τοῦ Ἰεμεινεί· ἄφετε αὐτὸν καταρᾶσθαι, ὅτι εἶπεν αὐτῷ Κύριος·
2 Samuel 16:12	εἴ πως ἴδοι Κύριος ἐν τῇ ταπεινώσει μου, καὶ ἐπιστρέψει μοι ἀγαθὰ ἀντὶ τῆς κατάρας αὐτοῦ τῇ ἡμέρᾳ ταύτῃ.
2 Samuel 16:13	καὶ ἐπορεύθη Δαυεὶδ καὶ οἱ ἄνδρες αὐτοῦ ἐν τῇ ὁδῷ· καὶ Σεμεεὶ ἐπορεύετο ἐκ πέρας τοῦ ὄρους ἐχόμενα αὐτοῦ πορευόμενος καὶ καταρώμενος καὶ λιθάζων ἐν λίθοις ἐκ πλαγίων αὐτοῦ καὶ τῷ χοὶ πάσσων.
2 Samuel 16:14	καὶ ἦλθεν ὁ βασιλεὺς καὶ πᾶς ὁ λαὸς αὐτοῦ ἐκλελυμένοι, καὶ ἀνέψυξαν ἐκεῖ.
2 Samuel 16:15	Καὶ Ἀβεσσαλὼμ καὶ πᾶς ἀνὴρ Ἰσραήλ εἰσῆλθον εἰς Ἰερουσαλήμ, καὶ Ἀχειτόφελ μετ᾽ αὐτοῦ.
2 Samuel 16:16	καὶ ἐγενήθη ἡνίκα ἦλθεν Χουσεὶ ὁ Ἀρχί, ἑταῖρος Δαυεὶδ πρὸς Ἀβεσσαλώμ, καὶ εἶπεν Χουσεὶ πρὸς Ἀβεσσαλώμ Ζήτω ὁ βασιλεύς.
2 Samuel 16:17	καὶ εἶπεν Ἀβεσσαλὼμ πρὸς Χουσεί Τοῦτο τὸ ἔλεός σου μετὰ τοῦ ἑταίρου σου; ἵνα τί οὐκ ἀπῆλθες μετὰ τοῦ ἑταίρου σου;
2 Samuel 16:18	καὶ εἶπεν Χουσεὶ πρὸς Ἀβεσσαλώμ Οὐχί, ἀλλὰ κατόπισθεν οὗ ἐξελέξατο Κύριος καὶ ὁ λαὸς οὗτος καὶ πᾶς ἀνὴρ Ἰσραήλ, αὐτῷ ἔσομαι καὶ μετ᾽ αὐτοῦ καθήσομαι.
2 Samuel 16:19	καὶ τὸ δεύτερον τίνι ἐγὼ δουλεύσω; οὐχὶ ἐνώπιον τοῦ υἱοῦ αὐτοῦ; καθάπερ ἐδούλευσα ἐνώπιον τοῦ πατρός σου, οὕτως ἔσομαι ἐνώπιον σοῦ.
2 Samuel 16:20	καὶ εἶπεν Ἀβεσσαλὼμ πρὸς Ἀχειτόφελ Φέρετε ἑαυτοῖς βουλὴν τί ποιήσωμεν.
2 Samuel 16:21	καὶ εἶπεν Ἀχειτόφελ πρὸς Ἀβεσσαλώμ Εἴσελθε πρὸς τὰς παλλακὰς τοῦ πατρός σου ἃς κατέλειπεν φυλάσσειν τὸν οἶκον, καὶ ἀκούσεται πᾶς Ἰσραὴλ ὅτι κατῄσχυνας τὸν πατέρα σου, καὶ ἐνισχύσουσιν αἱ χεῖρες πάντων τῶν μετὰ σοῦ.
2 Samuel 16:22	καὶ ἔπηξαν τὴν σκηνὴν τῷ Ἀβεσσαλὼμ ἐπὶ τὸ δῶμα, καὶ εἰσῆλθεν Ἀβεσσαλὼμ πρὸς τὰς παλλακὰς τοῦ πατρὸς αὐτοῦ κατ᾽ ὀφθαλμοὺς παντὸς Ἰσραήλ.
2 Samuel 16:23	καὶ ἡ βουλὴ Ἀχειτόφελ ἣν ἐβουλεύσατο ἐν ταῖς ἡμέραις ταῖς πρώταις ὃν τρόπον ἐπερωτήσῃ ἐν λόγῳ τοῦ θεοῦ· οὕτως πᾶσα ἡ βουλὴ τῷ Ἀχειτόφελ καί γε τῷ Δαυεὶδ καί γε τῷ Ἀβεσσαλώμ.
2 Samuel 17:1	Καὶ εἶπεν Ἀχειτόφελ πρὸς Ἀβεσσαλώμ Ἐπιλέξω δὴ ἐμαυτῷ δώδεκα χιλιάδας ἀνδρῶν, καὶ ἀναστήσομαι καὶ καταδιώξω ὀπίσω Δαυεὶδ τὴν νύκτα.
2 Samuel 17:2	καὶ ἐπελεύσομαι ἐπ᾽ αὐτόν, καὶ αὐτὸς κοπιῶν καὶ ἐκλελυμένος χερσίν, καὶ ἐκστήσω αὐτόν, καὶ φεύξεται πᾶς ὁ λαὸς ὁ μετ᾽ αὐτοῦ καὶ πατάξω τὸν βασιλέα μονώτατον·
2 Samuel 17:3	καὶ ἐπιστρέψω πάντα τὸν λαὸν πρὸς σέ, ὃν τρόπον ἐπιστρέφει ἡ νύμφη πρὸς τὸν ἄνδρα αὐτῆς· πλὴν ψυχὴν ἑνὸς ἀνδρὸς σὺ ζητεῖς, καὶ παντὶ τῷ λαῷ ἔσται ἐν εἰρήνῃ.
2 Samuel 17:4	καὶ εὐθὴς ὁ λόγος ἐν ὀφθαλμοῖς Ἀβεσσαλὼμ καὶ ἐν ὀφθαλμοῖς πάντων τῶν πρεσβυτέρων Ἰσραήλ.
2 Samuel 17:5	Καὶ εἶπεν Ἀβεσσαλώμ Καλέσατε δὴ καί γε τὸν Χουσεὶ τὸν Ἀραχεί, καὶ ἀκούσωμεν τί ἐν τῷ στόματι αὐτοῦ, καί γε αὐτοῦ.
2 Samuel 17:6	καὶ εἰσῆλθεν Χουσεὶ πρὸς Ἀβεσσαλώμ· καὶ εἶπεν Ἀβεσσαλὼμ πρὸς αὐτὸν λέγων Κατὰ τὸ ῥῆμα τοῦτο ὃ ἐλάλησεν Ἀχειτόφελ· ποιήσομεν κατὰ τὸν λόγον αὐτοῦ; εἰ δὲ μή, σὺ λάλησον.
2 Samuel 17:7	καὶ εἶπεν Χουσεὶ πρὸς Ἀβεσσαλώμ Οὐκ ἀγαθὴ αὕτη ἡ βουλὴ ἣν ἐβουλεύσατο Ἀχειτόφελ τὸ ἅπαξ τοῦτο.
2 Samuel 17:8	καὶ εἶπεν Χουσεί Σὺ οἶδας τὸν πατέρα σου καὶ τοὺς ἄνδρας αὐτοῦ ὅτι δυνατοί εἰσιν σφόδρα καὶ κατάπικροι τῇ ψυχῇ αὐτῶν, ὡς ἄρκος ἠτεκνωμένη ἐν ἀγρῷ καὶ ὡς ὗς τραχεῖα ἐν τῷ πεδίῳ· καὶ ὁ πατήρ σου ἀνὴρ πολεμιστὴς καὶ οὐ μὴ καταλύσῃ τὸν λαόν.
2 Samuel 17:9	ἰδοὺ γὰρ αὐτὸς νῦν κέκρυπται ἐν ἑνὶ τῶν βουνῶν ἢ ἐν ἑνὶ τῶν τόπων· καὶ ἔσται ἐν τῷ ἐπιπεσεῖν αὐτοῖς ἐν ἀρχῇ καὶ ἀκούσῃ ἀκούων, καὶ εἶπεν Ἐγενήθη θραῦσις ἐν τῷ λαῷ τῷ ὀπίσω Ἀβεσσαλώμ·
2 Samuel 17:10	καὶ γε αὐτὸς υἱὸς δυνάμεως, οὗ ἡ καρδία καθὼς ἡ καρδία τοῦ λέοντος, τηκομένη τακήσεται· ὅτι οἶδεν πᾶς Ἰσραὴλ ὅτι δυνατὸς ὁ πατήρ σου καὶ υἱοὶ δυνάμεως οἱ μετ᾽ αὐτοῦ.
2 Samuel 17:11	ὅτι οὕτως συμβουλεύων ἐγὼ συνεβούλευσα· καὶ συναγόμενος συναχθήσεται ἐπὶ σὲ πᾶς Ἰσραὴλ ἀπὸ Δὰν καὶ ἕως Βηρσάβεε, ὡς ἡ ἄμμος ἡ ἐπὶ τῆς θαλάσσης εἰς πλῆθος, καὶ τὸ πρόσωπόν σου πορευόμενον ἐν μέσῳ αὐτῶν·
2 Samuel 17:12	καὶ ἥξομεν πρὸς αὐτὸν εἰς ἕνα τῶν τόπων οὗ ἐὰν εὕρωμεν αὐτὸν ἐκεῖ, καὶ παρεμβαλοῦμεν ἐπ᾽ αὐτὸν ὡς πίπτει ἡ δρόσος ἐπὶ τὴν γῆν, καὶ οὐχ ὑπολειψόμεθα ἐν αὐτῷ καὶ τοῖς ἀνδράσιν τοῖς μετ᾽ αὐτοῦ καί γε ἕνα.
2 Samuel 17:13	καὶ ἐὰν εἰς τὴν πόλιν συναχθῇ, καὶ λήμψεται πᾶς Ἰσραὴλ πρὸς τὴν πόλιν ἐκείνην σχοινία καὶ συροῦμεν αὐτὴν ἕως εἰς τὸν χειμάρρουν, ὅπως μὴ καταλειφθῇ ἐκεῖ μηδὲ λίθος.
2 Samuel 17:14	καὶ εἶπεν Ἀβεσσαλὼμ καὶ πᾶς ἀνὴρ Ἰσραήλ Ἀγαθὴ ἡ βουλὴ Χουσεὶ τοῦ Ἀραχεὶ ὑπὲρ τὴν βουλὴν Ἀχειτόφελ τὴν ἀγαθήν· καὶ Κύριος ἐνετείλατο διασκεδάσαι τὴν βουλὴν Ἀχειτόφελ, ὅπως ἂν ἐπαγάγῃ Κύριος ἐπὶ Ἀβεσσαλὼμ τὰ κακὰ πάντα.
2 Samuel 17:15	καὶ εἶπεν Χουσεὶ ὁ τοῦ Ἀραχεὶ πρὸς Σαδὼκ καὶ Ἀβιαθὰρ τοὺς ἱερεῖς Οὕτως καὶ οὕτως συνεβούλευσεν Ἀχειτόφελ τῷ Ἀβεσσαλὼμ καὶ τοῖς πρεσβυτέροις Ἰσραήλ, καὶ οὕτως καὶ οὕτως συνεβούλευσα ἐγώ.
2 Samuel 17:16	καὶ νῦν ἀποστείλατε ταχὺ καὶ ἀναγγείλατε τῷ Δαυεὶδ λέγοντες Μὴ αὐλισθῇς τὴν νύκτα ἐν ἀραβὼθ τῆς ἐρήμου, καί γε διαβαίνων σπεῦσον, μή ποτε καταπείσῃ τὸν βασιλέα καὶ πάντα τὸν λαὸν τὸν μετ᾽ αὐτοῦ.
